Input,Text
DRUNK ELEPHANT The Littles™,"Beste™ No.9 Jelly Cleanser: Water, Sodium Lauroyl Methyl Isethionate, Glycerin, Cocamidopropyl Betaine, Cocamidopropyl Hydroxysultaine, Sodium Methyl Oleoyl Taurate, Propanediol, Aloe Barbadensis Leaf Extract, Coco-Glucoside, Lauryl Glucoside, Cucumis Melo Cantalupensis Fruit Extract, Sclerocarya Birrea Seed Oil, Dipotassium Glycyrrhizate, Citric Acid, Phenoxyethanol, Sodium Benzoate, Sodium Chloride. C-Firma™ Day Serum: Water, Ethoxydiglycol, Ascorbic Acid, Glycerin, Laureth-23, Lactobacillus/Pumpkin Ferment Extract, Sclerocarya Birrea Seed Oil, Ferulic Acid, Sodium Hyaluronate, Chondrus Crispus Extract, Camellia Sinensis Leaf Extract, Lactobacillus/Punica Granatum Fruit Ferment Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Vitis Vinifera (Grape) Juice Extract, Phyllanthus Emblica Fruit Extract, Hydrolyzed Wheat Protein, Tocopherol, Caprylhydroxamic Acid, Acetyl Glucosamine, Hydrolyzed Quinoa, Glutamylamidoethyl Imidazole, Dipotassium Glycyrrhizate, Tetrahydrodiferuloylmethane, Tetrahydrodemethoxydiferuloylmethane, Tetrahydrobisdemethoxydiferuloylmethane, Sodium Hyaluronate Crosspolymer, Glycine, Sucrose, Maltodextrin, Propanediol, Caprylyl Glycol, Sodium Hydroxide, Xanthan gum, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Isohexadecane, Polysorbate 60. B-Hydra™ Intensive Hydration Serum: Water,Coconut Alkanes, Ammonium Acryloyldimethyltaurate/VP Copolymer, Glycerin, Pentylene Glycol, Sclerocarya Birrea Seed Oil, Wheat Amino Acids, Ananas Sativus (Pineapple) Fruit Extract, Berberis Vulgaris Root Extract, Citrullus Lanatus (Watermelon) Fruit Extract, Lens Esculenta (Lentil) Fruit Extract, Pyrus Malus (Apple) Fruit Extract, Coco-Caprylate/Caprate, Panthenol, Sodium PCA, Sodium Hyaluronate Crosspolymer, Dipotassium Glycyrrhizate, Niacinamide, Cyclodextrin, Sodium Hyaluronate, Sodium Lactate, Phenoxyethanol, Hydroxyproline, Trisodium Ethylenediamine Disuccinate, Citric Acid, Caprylyl Glycol, Chlorphenesin, Ethylhexylglycerin. T.L.C. Framboos™ Glycolic Night Serum: Water, Glycolic Acid, Butylene Glycol, Glycerin, Sodium Hydroxide, Salicylic Acid, Lactic Acid, Citric Acid, Vitis Vinifera (Grape) Juice Extract, Aloe Barbadensis Leaf Juice, Opuntia Ficus-Indica Extract, Aesculus Hippocastanum (Horse Chestnut) Seed Extract, Camellia Sinensis Leaf Extract, Rubus Idaeus (Raspberry) Fruit Extract, Saccharomyces Cerevisiae Extract, Buddleja Davidii Meristem Cell Culture, Sclerocarya Birrea Seed Oil, Sodium Hyaluronate Crosspolymer, Allantoin, Hydroxyethylcellulose, Galactoarabinan, Propanediol, Disodium EDTA, Xanthan Gum, Hexylene Glycol, Phenoxyethanol, Caprylyl Glycol, Ethylhexylglycerin, Sodium Nitrate, Potassium Sorbate, Pentylene Glycol, Sodium Benzoate. Virgin Marula Luxury Facial Oil: Sclerocarya Birrea Seed OilLala Retro™Whipped CreamWater,Glycerin, Caprylic/ Capric Triglyceride, Isopropyl Isostearate, Pseudozyma Epicola/Camellia Sinensis Seed Oil/Glucose/Glycine Soja Meal/Malt Extract/Yeast Extract Ferment Filtrate (Pseudozyma Epicola/Camellia Sinensis Seed Oil/Glucose/Yeast Extract Ferment Filtrate), Stearic Acid, Glyceryl Stearate SE, Cetearyl Alcohol, Pentylene Glycol, Plantago Lanceolata Leaf Extract, Adansonia Digitata Seed Oil, Citrullus Lanatus (Watermelon) Seed Oil, Passiflora Edulis Seed Oil, Schinziophyton Rautanenii Kernel Oil, Sclerocarya Birrea Seed Oil, Polyglyceryl-6 Ximenia Americana Seedate, Sodium Hyaluronate Crosspolymer, Ceteareth-20, Trisodium Ethylenediamine Disuccinate, Sodium Hydroxide, Citric Acid, Carbomer, Xanthan Gum, Caprylyl Glycol, Chlorphenesin, Phenoxyethanol, Ethylhexylglycerin. Umbra™ Sheer Physical Daily Defense SPF 30: Zinc Oxide 20%, Water, Caprylic/Capric Triglyceride, Dicaprylyl Carbonate, Glycerin,Pentylene Glycol, Steareth-2, Propanediol, Steareth-21, Polyhydroxystearic Acid, Cetearyl Alcohol, Silica, Sclerocarya Birrea Seed Oil, Aloe Barbadensis Leaf Extract, Chondrus Crispus Extract, Haematococcus Pluvialis Extract, Helianthus Annuus (Sunflower) Sprout Extract, Vitis Vinifera (Grape) Juice Extract, Helianthus Annuus (Sunflower) Seed Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Raspberry Seed Oil/Tocopheryl Succinate Aminopropanediol Esters, Hydrolyzed Wheat Protein,Tocopheryl Acetate, Tocopherol, Sea Water, Acetyl Glucosamine, Cetearyl Glucoside, Sodium Stearoyl Glutamate, Tetrahexyldecyl Ascorbate, Glycine, Sucrose, Lecithin, Triethoxycaprylylsilane, Xanthan Gum, Trisodium Ethylenediamine Disuccinate, Caprylhydroxamic Acid, Mica, Caprylyl Glycol, Phenoxyethanol, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491). Shaba Complex™ Eye Serum: Water, Octyldodecanol, Glycerin, Boron Nitride, Saccharomyces/Xylinum/Black Tea Ferment, Coconut Alkanes, Cetyl Alcohol, Cetearyl Olivate, Sorbitan Olivate, Niacinamide, Copper Tripeptide-1, Leontopodium Alpinum Meristem Cell Culture, Dipeptide-2, Palmitoyl Tripeptide-1, Palmitoyl Tetrapeptide-7, Copper Lysinate/Prolinate, Hesperidin Methyl Chalcone, Chondrus Crispus (Carrageenan), Mangifera Indica (Mango) Seed Butter, Glycine Soja (Soybean) Oil, Hippophae Rhamnoides Oil, Sclerocarya Birrea Seed Oil, Sodium Hyaluronate Crosspolymer, Hydroxyethylcellulose, Coco-Caprylate/Caprate, Steareth-20, Lecithin, Panthenol, N-Hydroxysuccinimide, Ubiquinone, Citric Acid, Thioctic Acid, Tocopherol, Chrysin, Sclerotium Gum, Methylglucoside Phosphate, Xanthan Gum, Potassium Sorbate, Sodium Benzoate, Chlorphenesin, Caprylyl Glycol, Sodium Hydroxide, Phenoxyethanol, Pentylene Glycol, Ethylhexylglycerin."
TATA HARPER Restorative Eye Crème,"Aloe barbadensis Leaf Juice*, Water, Carthamus tinctorius (safflower) Oleosomes*, Lavandula angustifolia (Lavender) Flower/leaf/stem Water*, Caprylic/Capric Triglyceride, Glycerin, Olea Europaea (Olive) Oil*, Propanediol, Mangifera Indica (Mango) Seed Butter, Cetearyl alcohol, Cetearyl Olivate, Centella asiatica (Gotu Kola) Extract*, Leuconostoc Ferment Filtrate, Cetearyl glucoside, Pheonix Dactylifera (Date) Seed Extract, Menyanthes Trifoliata Leaf Extract, Polygonum fagopyrum (Buckwheat) Seed Extract, Lavandula stoechas (Spanish Lavender) Extract, Narcissus tazetta (Daffodil) Bulb Extract*, Arnica montana (Arnica) Extract*, Borago officinalis (Borage) Leaf Extract*, Medicago sativa (Alfalfa) Extract*, Spiraea Ulmaria Flower Extract*, Calendula officinalis (Calendula) Flower Extract*, Sambucus Nigra Fruit Extract, Salix alba (Willow) Bark Extract, p-Anisic Acid, Sodium Phytate, Leuconostoc ferment filtrate, Superoxide Dismutase*, Soybean Peroxidase*, Aroma**, Sorbitan Olivate, Oryza sativa (Rice) Extract*, Sclerotium gum, Cetyl Palmitate, Sodium hyaluronate, Sorbitan Palmitate, Hydrogenated Vegetable Oil, Citral, Citronellol, Eugenol, Geraniol, Limonene, Linalool."
DR. BRANDT SKINCARE 2% Retinol Complex Serum,"Water, Glycerin, Dicaprylyl Carbonate, Isoamyl Laurate, Cyclopentasiloxane, Butyrospermum Parkii (Shea) Butter, Shea Butter Cetyl Esters, Triheptanoin, Tocopherol, Phenoxyethanol, Behenyl Alcohol, Methylpropanediol, Glyceryl Stearate Citrate, Polysorbate 20, Sodium Acrylates Copolymer, Retinol, Glyceryl Stearate, Simmondsia Chinensis (Jojoba) Seed Oil, Xanthan Gum, Betaine, Polyglyceryl-3 Stearate, Citrus Paradisi (Grapefruit) Peel Oil, Lavandula Angustifolia (Lavender) Oil, Limonene, Chlorphenesin, Caprylyl Glycol, Caprylic/Capric Triglyceride, Lecithin, Glycine Soja (Soybean) Sterols, Hydrogenated Lecithin, Maslinic Acid, Lysolecithin, Phenylpropanol, Bht, Sodium Phytate, Dimethiconol, Hydrogenated Polyisobutene, Mel (Honey/Miel), Pectin, Phospholipids, Polyglyceryl-10 Stearate, Helianthus Annuus(Sunflower) Seed Oil, Glycine Soja (Soybean) Oil."
FARMACY Bright On Massage-Activated Vitamin C Mask with Echinacea GreenEnvy™,"Water, Aloe Barbadensis Leaf Juice, Kaolin, Glycerin, Bentonite, Pyrus Malus (Apple) Fruit Extract, Propanediol, Titanium Dioxide (Ci 77891), Sorbitol, 1,2-Hexanediol, Lauroyl Lysine, Chromium Oxide Greens, Maltooligosyl Glucoside, Xanthan Gum, Echinacea Purpurea Root Extract, Ascorbyl Tetraisopalmitate, Ascorbic Acid, Citrus Aurantium Dulcis (Orange) Fruit Extract, Citrus Limon (Lemon) Fruit Extract, Citrus Aurantifolia (Lime) Oil, Vaccinium Myrtillus Fruit/Leaf Extract, Vaccinium Angustifolium (Blueberry) Fruit Extract, Lavandula Angustifolia (Lavender) Oil, Acer Saccharum (Sugar Maple) Extract, Centella Asiatica Extract, Saccharum Officinarum (Sugarcane) Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Lavandula Hybrida Oil, Rosmarinus Officinalis (Rosemary) Leaf Extract, Cucumis Sativus (Cucumber) Fruit Extract, Brassica Oleracea Acephala Leaf Extract, Brassica Oleracea Italica (Broccoli) Extract, Camellia Sinensis Leaf Extract, Mentha Piperita (Peppermint) Oil, Rosmarinus Officinalis (Rosemary) Leaf Oil, Citrus Aurantium Dulcis (Orange) Peel Oil, Anthemis Nobilis Flower Oil, Chamomilla Recutita (Matricaria) Flower Extract, Aloe Barbadensis Leaf Extract, Tocopherol, Betaine, Zingiber Officinale (Ginger) Root Oil, Hydrogenated Starch Hydrolysate, Perilla Ocymoides Seed Oil, Helianthus Annuus (Sunflower) Seed Oil, Trisodium Ethylenediamine Disuccinate, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Cananga Odorata Flower Oil, Cymbopogon Martini Oil, Pelargonium Graveolens Oil, Pogostemon Cablin Oil, Sclerotium Gum, Pullulan, Polygonum Cuspidatum Root Extract, Scutellaria Baicalensis Root Extract, Abies Sibirica Oil, Cellulose Gum, Sucrose, Mica, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Potassium Sorbate, Ethylhexylglycerin, Manganese Violet, Polyglyceryl-10 Laurate, Cellulose Acetate Butyrate, Caprylic/Capric Triglyceride, Citric Acid, Polyglyceryl-10 Myristate, Acrylates Copolymer, Sodium Benzoate, Algin, Bioflavonoids, Limonene, Linalool."
LAURA MERCIER Tinted Moisturizer Broad Spectrum SPF 20 - Oil Free,"Polyethylene, Dimethicone, Butyrospermum Parkii (Shea) Butter, Petrolatum, Butyloctyl, Salicylate, C12-15 Alkyl Benzoate, Undecylcrylene Dimethicone, Neopentyl Glycol Diheptanoate, Acrylates/Ethylhexyl Acrylate/Dimethicone Methacrylate Copolymer, Behenyl Olivate, Aluminum Hydroxide, Stearic Acid, Glyceryl Isostearate, Beeswax, Polyhydroxystearic Acid, Cetyl PEG/PPG-10/1 Dimethicone, BHT, Benzylidene Dimethoxydimethylindanone, Tetrahexyldecyl Ascorbate."
DR. JART+ Dermask Ultra Jet Porecting Solution Bubbling Charcoal Sheet Mask,"Water, Methylpropanediol, Glycerin, Ethyl Perfluoroisobutyl Ether, Ethyl Perfluorobutyl Ether, Sapindus Mukorossi Fruit Extract, Acrylates Copolymer, Betaine, Hydroxyacetophenone, Polyacrylamide, C13-14 Isoparaffin, Tromethamine, Dimethicone, Allantoin, Laureth-7, 1,2 Hexanediol, Ethylhexyglcerin, Adenosine, Citrus Aurantium Dulcis (Orange) Oil, Butylene Glycol, Lonicera Japonica (Honeysuckle) Flower Extract, Polyglyceryl-10 Stearate, Lonicera Caprifolium (Honeysuckle) Flower Extract, Disodium EDTA, Helianthus Annuus (Sunflower) Seed Oil, Rhus Semialata Gall Extract, Glyceryl Acrylate/Acrylic Acid Copolymer, Althaea Rosea Flower Extract, Hydrogenated Lecithin, Caffeine, Alcohol, Pelargonium Graveolens Flower Oil, Caning Odonata Flower Oil, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Propanediol, Lecithin, Pistachio Lentiscus (Mastic) Gum, Rosa Damascena Flower Oil, Melaleuca Viridiflora Leaf Oil, Butyl Avocadate, Iris Ensata Extract, Maltodextrin, Mooring Pterygosperma Seed Extract, Asparagus Officinalis Stem Extract, Eucalyptus Globulus Leaf Extract, Calcium Clubonate, Gluconolacctone, Potassium Sorbet, Sodium Benzoate, Propyl Gallate."
LANCER The Method: Polish Blemish Control,"Water, Sodium C14-16 Olefin Sulfonate, Acrylates Copolymer, Glycerin, Cocamidopropyl Betaine, Mannitol, Jojoba beads, Syringa Vulgaris (Lilac) Leaf Cell Culture Extract, Mentha Piperita (Peppermint) Oil, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Hydroxypropyl Methylcellulose, Sodium PCA, Cellulose, Salicylic Acid, Disodium Cocoamphodiacetate, Panthenol, Niacinamide, Dextrin, Maltodextrin, Amylopectin, Disodium EDTA, Sodium Hydroxide, Polydextrose, Caprylyl Glycol, Phenoxyethanol, Chlorphenesin, Methylisothiazolinone, Methylchloroisothiazolinone, Fragrance, Limonene, Iron Oxides (CI 77492)."
LANCER Lift Serum Intense with Stem Cell Recovery Complex,"Water, Glycerin, Cyclopentasiloxane, Caprylic/Capric Triglyceride, Pentylene Glycol, Cetearyl Alcohol, Dimethicone, Squalane, Vitis Vinifera (Grape) Juice Extract, Glycine Soja (Soybean) Extract, Vitis Vinifera (Grape) Fruit Cell Extract, Tropaeolum Majus Extract, Hydrolyzed Manihot Esculenta Tuber Extract, Hexapeptide-48 HCl, Sodium Hyaluronate, Crithmum Maritimum Callus Culture Filtrate, Acrylates/Dimethicone Copolymer, Polyglyceryl-4 Diisostearate/Polyhydroxystearate/Sebacate, Sodium Hyaluronate Crosspolymer, Lecithin, Glyceryl Stearate, PEG-100 Stearate, Ethylhexyl Stearate, Sodium Isostearate, Isomalt, Ceteareth-20, Disodium EDTA, Sclerotium Gum, Propanediol, Gold, Phenoxyethanol, Caprylyl Glycol, Sodium Benzoate, Benzyl Benzoate, Xanthan Gum, Chlorphenesin, Ethylhexylglycerin, Butylphenyl Methylpropional, Fragrance, Limonene, Mica, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491)."
LA MER The Cleansing Foam,"Declustered Water (+)/Aqua/Eau De-Structuree (+), Myristic Acid, Glycerin, Behenic Acid, Palmitic Acid, Sodium Methyl Cocoyl Taurate, Potassium Hydroxide, Lauric Acid, Stearic Acid, Algae (Seaweed) Extract, Sesamum Indicum (Sesame) Seed Oil, Medicago Sativa (Alfalfa) Seed Powder, Helianthus Annuus (Sunflower) Seedcake, Prunus Amygdalus Dulcis (Sweet Almond) Seed Meal, Eucalyptus Globulus (Eucalyptus) Leaf Oil, Sodium Gluconate, Copper Gluconate, Calcium Gluconate, Magnesium Gluconate, Zinc Gluconate, Tocopheryl Succinate, Niacin, Sesamum Indicum (Sesame) Seed Powder, Quartz Powder, Nephrite Powder, Pearl Powder, Caffeine, Sea Salt/Maris Sal/Sel Marin, Humic Acids, Sodium Hyaluronate, Sucrose, Tourmaline, Macrocystis Pyrifera (Kelp) Protein, Polyquaternium-51, Aloe Barbadensis Leaf Water, Trehalose, Cellulose, Butylene Glycol, Sodium Coco Pg-Dimonium Chloride Phosphate, Sodium Bicarbonate, Sodium Pca, Peg-3 Distearate, Urea, Fragrance, Disodium Edta, Linalool, Limonene, Phenoxyethanol, Methylchloroisothiazolinone, Methylisothiazolinone, Yellow 5 (Ci 19140), Yellow 6 (Ci 15985), Blue 1 (Ci 42090), Green 5 (Ci 61570)"
SEPHORA COLLECTION Face Mask - Pomegranate,"Water, Butylene Glycol, Glycerin, Peg-40 Hydrogenated Castor Oil, Phenoxyethanol, Aloe Barbadensis Leaf Juice, Triethanolamine, Oryza Sativa (Rice) Extract, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Tremella Fuciformis (Mushroom) Extract, Fragrance, Piroctone Olamine, Maltodextrin, Punica Granatum Fruit Extract, Polyquaternium-51, Solidago Virgaurea (Goldenrod) Extract, Brassica Oleracea Italica (Broccoli) Sprout Extract, Potassium Sorbate, Peg-30 Dipolyhydroxystearate, Trideceth-6, Citric Acid, Sorbic Acid, Sodium Benzoate."
FOREO Espada Acne-Clearing Blue Light Pen,"Water, Sodium C14-16 Olefin Sulfonate, Acrylates Copolymer, Glycerin, Cocamidopropyl Betaine, Mannitol, Jojoba beads, Syringa Vulgaris (Lilac) Leaf Cell Culture Extract, Mentha Piperita (Peppermint) Oil, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Hydroxypropyl Methylcellulose, Sodium PCA, Cellulose, Salicylic Acid, Disodium Cocoamphodiacetate, Panthenol, Niacinamide, Dextrin, Maltodextrin, Amylopectin, Disodium EDTA, Sodium Hydroxide, Polydextrose, Caprylyl Glycol, Phenoxyethanol, Chlorphenesin, Methylisothiazolinone, Methylchloroisothiazolinone, Fragrance, Limonene, Iron Oxides (CI 77492)."
FIRST AID BEAUTY 5 in 1 Eye Cream,"Water, Glycerin, Dimethicone, C12-15 Alkyl Benzoate, Sodium Polyacrylate, Ethylhexyl Palmitate, Silica, Palmitoyl Hexapeptide-12, Palmitoyl Tetrapeptide-7, Enteromorpha Compressa Extract, Alpha-Arbutin, Niacinamide, Caesalpinia Spinosa Gum, Sodium Lactate, Bisabolol, Camellia Sinensis Leaf Extract, Chrysanthemum Parthenium (Feverfew) Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Hydrogenated Lecithin, Caprylyl Methicone, Sodium PCA, Hydrogenated Phosphatidylcholine, Polysorbate 60, Sodium Isostearate, Carbomer, Polysorbate 20, Butylene Glycol, Hydroxyethyl Acrylate/Sodium Acryloyldimethyltaurate Copolymer, Phenyl Methicone, Polysilicone-11, Glyceryl Polyacrylate, Xanthan Gum, Phenoxyethanol, Sodium Hydroxide, Potassium Sorbate, Sodium Benzoate."
KIEHL'S SINCE 1851 Powerful-Strength Line-Reducing Eye-Brightening Concentrate,"Propylene Glycol Cyclopentasiloxane Ascorbic Acid Glycerin Cetyl Peg/Ppg-10/1 Dimethicone Dimethicone Crosspolymer Aqua, Water Lauroyl Lysine Acrylates Copolymer Escin Silica Dimethyl Silylate Adenosine N-Hydroxysuccinimide Palmitoyl Oligopeptide Chrysin Palmitoyl Tetrapeptide-7."
PETER THOMAS ROTH Un-Wrinkle Peel Pads,"Water, Ethoxydiglycol, Glycolic Acid, Rosa Centifolia Flower Water, Sodium Lactate, Ppg-5-Ceteth-20, Hamamelis Virginiana (Witch Hazel) Extract, Butylene Glycol, Arginine, Propylene Glycol, Salicylic Acid, Aminobutyric Acid, Retinyl Palmitate, Tocopheryl Acetate, Sodium Ascorbyl Phosphate, Alanine, Chamomilla Recutita (Matricaria) Flower Extract, Camellia Sinensis Leaf Extract, Aloe Barbadensis Leaf Juice, Citrus Limon (Lemon) Peel Extract, Zingiber Officinale (Ginger) Root Extract, Citrus Aurantifolia (Lime) Peel Extract, Citrus Aurantium Dulcis (Orange) Fruit Extract, Citrus Tangerina (Tangerine) Peel Extract, Mentha Piperita (Peppermint) Extract, Salvia Officinalis (Sage) Leaf Extract, Borago Officinalis Seed Extract, Caprylic/Capric Triglyceride, Symphytum Officinale Root Extract, Peg-8 Dimethicone, Octyldodecanol, Ascorbic Acid, Silica, Sodium Propoxyhydroxypropyl Thiosulfate Silica, Benzoic Acid, Sodium Hydroxide, Phenoxyethanol, Diazolidinyl Urea, Methylparaben, Propylparaben, Butylparaben, Ethylparaben, Isobutylparaben."
OLEHENRIKSEN So Nurturing™ Cleansing Cloths,"Water, Polysorbate 20, Phenoxyethanol, Parfum/Fragrance, Glycerin, Vaccinium Myrtillus (Bilberry) Fruit Extract, Barbassu Oil, Polyglyceryl-4 Esters, Saccharum Officinarum (Sugar Cane) Extract, Potassium Hydroxide, Panthenol, Citrus Aurantium Dulcis (Orange) Fruit Extract, Citrus Limon (Lemon) Fruit Extract, Enteromorpha Compressa Extract, Acer Saccharum (Sugar Maple) Extract, Biosaccharide Gum-1, Sodium Hyaluronate, Aloe Barbadensis Leaf Juice, Ascorbyl Glucoside, Borago Officinalis (Borage) Seed Oil, Allantoin, Linoleic Acid, Sodium Levulinate, Sodium PCA, Glyceryl Caprylate, Linolenic Acid, Sodium Anisate, Caesalpinia Spinosa Gum, Linum Usitatissiumum (Linseed) Seed Oil, Moringa Oleifera Seed Oil, Tocopheryl Acetate, Ananas Sativas (Pineapple) Fruit Extract, Potassium Sorbate, Sodium Benzoate, Bromelain, Citric Acid, Canola Oil, Carica Papya (Papaya) Fruit Extract, Tocopherol, Aspalathus Linearis Leaf Extract, Cocos Nucifera (Coconut) Fruit Extract, Limonene."
SKIN INC SUPPLEMENT BAR Pure Deepsea Hydrating Mask,"Water, Butylene Glycol, Glycerin, Pentylene Glycol, Algae Extract, Natto Gum, Sodium Hyaluronate, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Potassium Hydroxide, Phenoxyethanol, Tetrasodium EDTA."
SHISEIDO Benefiance WrinkleResist24 Day Cream Broad Spectrum SPF 18,"Water, Glycerin, Dipropylene Glycol, Butylene Glycol, Phenyl Trimethicone, Hydrogenated Polydecene, Sorbitol, Myristyl Myristate, Dimethicone, Sd Alcohol 40-B, Polybutylene Glycol/Ppg-9/1 Copolymer, Petrolatum, Stearyl Alcohol, Stearic Acid, Silica, Bentonite, Palmitic Acid, Xanthan Gum, Peg/Ppg-17/4 Dimethyl Ether, Phytosteryl Macadamiate, Tocopheryl Acetate, Sapindus Mukurossi Peel Extract, Uncaria Gambir Extract, Sodium Acetylated Hyaluronate, Hydroxyproline, Thymus Serpillum Extract, Chlorella Vulgaris Extract, Peg-5 Glyceryl Stearate, Glyceryl Stearate Se, Trisodium Edta, Potassium Hydroxide, Sodium Metaphosphate, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Alcohol, Sodium Metabisulfite, Bht, Tocopherol, Phenoxyethanol, Fragrance, Iron Oxides."
BIOSSANCE Squalane + Mineral SPF 45,"Water, Caprylic/Capric Triglyceride, Squalane, Polyglyceryl-3 Sorbityl, Linseedate, Cetyl Dimethicone, Dimethicone, Polymethylsilsesquioxane, Glycerin, Styrene/ Acrylates Copolymer, Thermus Thermophilus Ferment, Polyhydroxystearic Acid, Synthetic Fluorphlogopite, Sodium Chloride, Hydroxyacetophenone, Tocopheryl Acetate, Saccharide Isomerate, Caramel, Pentylene Glycol, 1,2-Hexanediol, Caprylyl Glycol, Disteardimonium Hectorite, Triethoxycaprylylsilane, Bisabolol, Benzylidene Dimethoxydimethylindanone, Citrus Aurantium Amara (Bitter Orange) Flower Extract, Zingiber Officinale (Ginger) Root Extract."
MURAD Rapid Age Spot and Pigment Lightening Serum,"Water, Alcohol Denat., Glycolic Acid, Butylene Glycol, Glycerin, Methyl Gluceth-10, Dextran, Hexapeptide-2, Rice Amino Acids, Aloe Barbadensis Leaf Juice, Urea, Yeast Amino Acids, Trehalose, Inositol, Taurine, Betaine, Zinc Gluconate, Ascorbic Acid, Chitosan, Propyl Gallate, Nonoxynol-10, Lecithin, Tocopherol, Magnesium Ascorbyl Phosphate, Dipotassium Glycyrrhizate, Palmitoyl Hydroxypropyltrimonium Amylopectin/Glycerin Crosspolymer, Vitis Vinifera (Grape) Seed Extract, Chitosan PCA, Allantoin, Polyquaternium-10, Sodium Metabisulfite, Sodium Sulfite, Sodium Hydroxide, PPG-26-Buteth-26, PEG-40 Hydrogenated Castor Oil, Hydroxyethylcellulose, Disodium EDTA, Limonene, Linalool, Fragrance."
PETER THOMAS ROTH Therapeutic Sulfur Mask Acne Treatment Mask,"Water, Bentonite, Kaolin, Propylene Glycol, Talc, Glycerin, Aloe Barbadensis Leaf Juice, Zinc Oxide (Ci 77947), Polysorbate 20, Titanium Dioxide (Ci 77891), Carbomer, Fragrance, Sodium Hydroxide, Diazolidinyl Urea, Methylparaben, Propylparaben."
KATE SOMERVILLE Quench Hydrating Face Serum,"Cyclopentasiloxane, Dimethicone, Dimethiconol, Ethylhexyl Stearate, Cyclomethicone, Phenyl Trimethicone, Ethylhexyl Cocoate, Caprylic/Capric Triglyceride, Water, Retinol, Sodium Ascorbate, Tocopherol, Lecithin, Glycolipids, Sodium Hyaluronate, Caprylyl Glycol."
PHILOSOPHY Time In A Bottle For Eyes 100% In-Control,"Water, Propanediol, Bis-Peg-18 Methyl Ether Dimethyl Silane, Glycerin, Methyl Methacrylate Crosspolymer, Benzophenone-4, Polyethylene, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Squalane, Ptfe, Xanthan Gum, Phenoxyethanol, 3-O-Ethyl Ascorbic Acid, Propylene Glycol, Sodium Citrate, Bifida Ferment Lysate, Citric Acid, Caffeine, Caprylyl Glycol, 1,2-Hexanediol, Sodium Hydroxide, Polysorbate 60, Plantago Lanceolata Leaf Extract, Carnosine, Oryza Sativa (Rice) Extract, Caprylic/Capric Triglyceride, Disodium Edta, Adenosine, Ginkgo Biloba Leaf Extract, Physalis Pubescens Fruit Juice, Peg-8, Lecithin, Alcohol, Aesculus Hippocastanum (Horse Chestnut) Seed Extract, Glucose, Tocopherol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Lactic Acid, Silica, Hydrolyzed Soy Flour, Sodium Carbonate, Sodium Phosphate, Saccharomyces/Grape Ferment Extract, Bht, Sodium Chloride, Ascorbyl Palmitate, Potassium Sorbate, Sodium Benzoate, Bacillus Ferment, Camellia Sinensis Leaf Extract, Coffea Arabica (Coffee) Seed Extract, Pongamia Pinnata Seed Extract, Punica Granatum Fruit Extract, Angelica Archangelica Root Extract, Citrus Aurantium Amara (Bitter Orange) Peel Extract, Hydrolyzed Vegetable Protein, Maltodextrin, Trisodium Edta, Acetic Acid, Magnesium Aluminum Silicate, Potassium Chloride, Potassium Phosphate, Ascorbic Acid, Sclerotium Gum, Plankton Extract, Micrococcus Lysate, Sorbic Acid, Retinyl Palmitate, Titanium Dioxide (Ci 77891), Mica, Fd & C Red 40 (Ci 16035)."
CLINIQUE Foaming Sonic Facial Soap,"Water, Sodium C14-16 Olefin Sulfonate, Acrylates Copolymer, Glycerin, Cocamidopropyl Betaine, Mannitol, Jojoba beads, Syringa Vulgaris (Lilac) Leaf Cell Culture Extract, Mentha Piperita (Peppermint) Oil, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Hydroxypropyl Methylcellulose, Sodium PCA, Cellulose, Salicylic Acid, Disodium Cocoamphodiacetate, Panthenol, Niacinamide, Dextrin, Maltodextrin, Amylopectin, Disodium EDTA, Sodium Hydroxide, Polydextrose, Caprylyl Glycol, Phenoxyethanol, Chlorphenesin, Methylisothiazolinone, Methylchloroisothiazolinone, Fragrance, Limonene, Iron Oxides (CI 77492)."
